ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source,Root
Tatar-3_1sg-1-1,Tatar-3_1sg-1,min,31,false,expert,,m   i   n,,,*ben
Tofa-3_1sg-1-1,Tofa-3_1sg-1,men,31,false,expert,,m   e   n,,,*ben
Turkish-3_1sg-1-1,Turkish-3_1sg-1,ben,31,false,expert,,b   e   n,,,*ben
Turkmen-3_1sg-1-1,Turkmen-3_1sg-1,men,31,false,expert,,m   e   n,,,*ben
Tuvan-3_1sg-1-1,Tuvan-3_1sg-1,men,31,false,expert,,m   e   n,,,*ben
Uighur-3_1sg-1-1,Uighur-3_1sg-1,mɛn,31,false,expert,,m   æ   n,,,*ben
Uzbek-3_1sg-1-1,Uzbek-3_1sg-1,men,31,false,expert,,m   e   n,,,*ben
Yakut-3_1sg-1-1,Yakut-3_1sg-1,min,31,false,expert,,m   i   n,,,*ben
Chuvash-3_1sg-1-1,Chuvash-3_1sg-1,ebɘ,32,false,expert,,e   b   ĭ,,,*bẹ
Baraba-4_2plpronoun-1-1,Baraba-4_2plpronoun-1,silær,911,false,expert,,s   i   -   l   æ   r   -   -   -,,,si
CodexCumanicus-4_2plpronoun-1-1,CodexCumanicus-4_2plpronoun-1,six,911,false,expert,,s   i   x   -   -   -   -   -   -,,,si
NorthAltai-4_2plpronoun-1-1,NorthAltai-4_2plpronoun-1,sler,911,false,expert,,s   -   -   l   e   r   -   -   -,,,si
OldUyghur-4_2plpronoun-1-1,OldUyghur-4_2plpronoun-1,siz,911,false,expert,,s   i   z   -   -   -   -   -   -,,,si
SouthAltai-4_2plpronoun-1-1,SouthAltai-4_2plpronoun-1,sler,911,false,expert,,s   l   -   -   e   r   -   -   -,,,si
Azeri-4_2plpronoun-1-1,Azeri-4_2plpronoun-1,siz,911,false,expert,,s   i   z   -   -   -   -   -   -,,,si
Bashkir-4_2plpronoun-1-1,Bashkir-4_2plpronoun-1,heð,911,false,expert,,h   e   ð   -   -   -   -   -   -,,,si
Chuvash-4_2plpronoun-1-1,Chuvash-4_2plpronoun-1,ezir,911,false,expert,,-   e   z   -   i   r   -   -   -,,,si
CrimeanTatar-4_2plpronoun-1-1,CrimeanTatar-4_2plpronoun-1,siz,911,false,expert,,s   i   z   -   -   -   -   -   -,,,si
Gagauz-4_2plpronoun-1-1,Gagauz-4_2plpronoun-1,siz,911,false,expert,,s   i   z   -   -   -   -   -   -,,,si
KaraKalpak-4_2plpronoun-1-1,KaraKalpak-4_2plpronoun-1,siz,911,false,expert,,s   i   z   -   -   -   -   -   -,,,si
KarachayBalkar-4_2plpronoun-1-1,KarachayBalkar-4_2plpronoun-1,siz,911,false,expert,,s   i   z   -   -   -   -   -   -,,,si
Karaim-4_2plpronoun-1-1,Karaim-4_2plpronoun-1,siz,911,false,expert,,s   i   z   -   -   -   -   -   -,,,si
Kazakh-4_2plpronoun-1-1,Kazakh-4_2plpronoun-1,sɘzder,911,false,expert,,s   ĭ   z   d   e   r   -   -   -,,,si
Khakas-4_2plpronoun-1-1,Khakas-4_2plpronoun-1,sɘrer,911,false,expert,,s   ĭ   -   r   e   r   -   -   -,,,si
Khalaj-4_2plpronoun-1-1,Khalaj-4_2plpronoun-1,siz,911,false,expert,,s   i   z   -   -   -   -   -   -,,,si
Kirghiz-4_2plpronoun-1-1,Kirghiz-4_2plpronoun-1,siler,911,false,expert,,s   i   -   l   e   r   -   -   -,,,si
Kumyk-4_2plpronoun-1-1,Kumyk-4_2plpronoun-1,siz,911,false,expert,,s   i   z   -   -   -   -   -   -,,,si
MiddleChulym-4_2plpronoun-1-1,MiddleChulym-4_2plpronoun-1,s(ɘ)lɛr,911,false,expert,,s   ĭ   -   l   ɛ   r   -   -   -,,,si
Nogai-4_2plpronoun-1-1,Nogai-4_2plpronoun-1,siz,911,false,expert,,s   i   z   -   -   -   -   -   -,,,si
Salar-4_2plpronoun-1-1,Salar-4_2plpronoun-1,seler,911,false,expert,,s   e   -   l   e   r   -   -   -,,,si
SarygYugur-4_2plpronoun-1-1,SarygYugur-4_2plpronoun-1,siler,911,false,expert,,s   i   -   l   e   r   -   -   -,,,si
Shor-4_2plpronoun-1-1,Shor-4_2plpronoun-1,siler,911,false,expert,,s   i   -   l   e   r   -   -   -,,,si
Tatar-4_2plpronoun-1-1,Tatar-4_2plpronoun-1,sez,911,false,expert,,s   e   z   -   -   -   -   -   -,,,si
Tofa-4_2plpronoun-1-1,Tofa-4_2plpronoun-1,s(ɘ)ler,911,false,expert,,s   ĭ   -   l   ɛ   r   -   -   -,,,si
Turkish-4_2plpronoun-1-1,Turkish-4_2plpronoun-1,siz,911,false,expert,,s   i   z   -   -   -   -   -   -,,,si
Turkmen-4_2plpronoun-1-1,Turkmen-4_2plpronoun-1,siz,911,false,expert,,s   i   z   -   -   -   -   -   -,,,si
Tuvan-4_2plpronoun-1-1,Tuvan-4_2plpronoun-1,siler,911,false,expert,,s   i   -   l   e   r   -   -   -,,,si
Uighur-4_2plpronoun-1-1,Uighur-4_2plpronoun-1,siz,911,false,expert,,s   i   z   -   -   -   -   -   -,,,si
Uzbek-4_2plpronoun-1-1,Uzbek-4_2plpronoun-1,sizlar,911,false,expert,,s   i   z   l   a   r   -   -   -,,,si
Yakut-4_2plpronoun-1-1,Yakut-4_2plpronoun-1,ehigi,911,false,expert,,-   e   h   -   -   -   i   g   i,,,si
Dolgan-4_2plpronoun-1-1,Dolgan-4_2plpronoun-1,en,912,false,expert,,,,,sen
Chuvash-5_2sgpronoun-1-1,Chuvash-5_2sgpronoun-1,ezɘ,16,false,expert,,e   z   ĭ   -,,,*sV: sẹ
Nogai-5_2sgpronoun-1-1,Nogai-5_2sgpronoun-1,siz,16,false,expert,,-   s   i   z,,,*sV: sẹ
Uzbek-5_2sgpronoun-1-1,Uzbek-5_2sgpronoun-1,siz,16,false,expert,,-   s   i   z,,,*sV: sẹ
Baraba-5_2sgpronoun-1-1,Baraba-5_2sgpronoun-1,sin,17,false,expert,,s   i   n,,,*sV: sen
CodexCumanicus-5_2sgpronoun-1-1,CodexCumanicus-5_2sgpronoun-1,sen,17,false,expert,,s   e   n,,,*sV: sen
NorthAltai-5_2sgpronoun-1-1,NorthAltai-5_2sgpronoun-1,sen,17,false,expert,,s   e   n,,,*sV: sen
OldUyghur-5_2sgpronoun-1-1,OldUyghur-5_2sgpronoun-1,sen,17,false,expert,,s   e   n,,,*sV: sen
SouthAltai-5_2sgpronoun-1-1,SouthAltai-5_2sgpronoun-1,sen,17,false,expert,,s   e   n,,,*sV: sen
Azeri-5_2sgpronoun-1-1,Azeri-5_2sgpronoun-1,sɛn,17,false,expert,,s   æ   n,,,*sV: sen
Bashkir-5_2sgpronoun-1-1,Bashkir-5_2sgpronoun-1,hin,17,false,expert,,h   i   n,,,*sV: sen
CrimeanTatar-5_2sgpronoun-1-1,CrimeanTatar-5_2sgpronoun-1,sen,17,false,expert,,s   e   n,,,*sV: sen
Dolgan-5_2sgpronoun-1-1,Dolgan-5_2sgpronoun-1,en,17,false,expert,,-   e   n,,,*sV: sen
Gagauz-5_2sgpronoun-1-1,Gagauz-5_2sgpronoun-1,sɛn,17,false,expert,,s   æ   n,,,*sV: sen
KaraKalpak-5_2sgpronoun-1-1,KaraKalpak-5_2sgpronoun-1,sen,17,false,expert,,s   e   n,,,*sV: sen
KarachayBalkar-5_2sgpronoun-1-1,KarachayBalkar-5_2sgpronoun-1,sen,17,false,expert,,s   e   n,,,*sV: sen
Karaim-5_2sgpronoun-1-1,Karaim-5_2sgpronoun-1,sen,17,false,expert,,s   e   n,,,*sV: sen
Kazakh-5_2sgpronoun-1-1,Kazakh-5_2sgpronoun-1,sen,17,false,expert,,s   e   n,,,*sV: sen
Khakas-5_2sgpronoun-1-1,Khakas-5_2sgpronoun-1,sin,17,false,expert,,s   i   n,,,*sV: sen
Khalaj-5_2sgpronoun-1-1,Khalaj-5_2sgpronoun-1,sɛn,17,false,expert,,s   æ   n,,,*sV: sen
Kirghiz-5_2sgpronoun-1-1,Kirghiz-5_2sgpronoun-1,sen,17,false,expert,,s   e   n,,,*sV: sen
Kumyk-5_2sgpronoun-1-1,Kumyk-5_2sgpronoun-1,sen,17,false,expert,,s   e   n,,,*sV: sen
MiddleChulym-5_2sgpronoun-1-1,MiddleChulym-5_2sgpronoun-1,sɛn,17,false,expert,,s   æ   n,,,*sV: sen
Salar-5_2sgpronoun-1-1,Salar-5_2sgpronoun-1,sen,17,false,expert,,s   e   n,,,*sV: sen
SarygYugur-5_2sgpronoun-1-1,SarygYugur-5_2sgpronoun-1,sen,17,false,expert,,s   e   n,,,*sV: sen
Shor-5_2sgpronoun-1-1,Shor-5_2sgpronoun-1,sen,17,false,expert,,s   e   n,,,*sV: sen
Tatar-5_2sgpronoun-1-1,Tatar-5_2sgpronoun-1,sin,17,false,expert,,s   i   n,,,*sV: sen
Tofa-5_2sgpronoun-1-1,Tofa-5_2sgpronoun-1,sen,17,false,expert,,s   e   n,,,*sV: sen
Turkish-5_2sgpronoun-1-1,Turkish-5_2sgpronoun-1,sen,17,false,expert,,s   e   n,,,*sV: sen
Turkmen-5_2sgpronoun-1-1,Turkmen-5_2sgpronoun-1,sen,17,false,expert,,s   e   n,,,*sV: sen
Tuvan-5_2sgpronoun-1-1,Tuvan-5_2sgpronoun-1,sen,17,false,expert,,s   e   n,,,*sV: sen
Uighur-5_2sgpronoun-1-1,Uighur-5_2sgpronoun-1,sɛn,17,false,expert,,s   æ   n,,,*sV: sen
Yakut-5_2sgpronoun-1-1,Yakut-5_2sgpronoun-1,en,17,false,expert,,-   e   n,,,*sV: sen
Baraba-6_3sgpronoun-1-1,Baraba-6_3sgpronoun-1,ol,82,false,expert,,-   -   o   l,,,*ol: O
CodexCumanicus-6_3sgpronoun-1-1,CodexCumanicus-6_3sgpronoun-1,ol,82,false,expert,,-   -   o   l,,,*ol: O
NorthAltai-6_3sgpronoun-1-1,NorthAltai-6_3sgpronoun-1,ol,82,false,expert,,-   -   o   l,,,*ol: O
OldUyghur-6_3sgpronoun-1-1,OldUyghur-6_3sgpronoun-1,ol,82,false,expert,,-   -   o   l,,,*ol: O
SouthAltai-6_3sgpronoun-1-1,SouthAltai-6_3sgpronoun-1,ol,82,false,expert,,-   -   o   l,,,*ol: O
Azeri-6_3sgpronoun-1-1,Azeri-6_3sgpronoun-1,o,82,false,expert,,-   -   o   -,,,*ol: O
Bashkir-6_3sgpronoun-1-1,Bashkir-6_3sgpronoun-1,ul,82,false,expert,,-   -   u   l,,,*ol: O
Chuvash-6_3sgpronoun-1-1,Chuvash-6_3sgpronoun-1,völ,82,false,expert,,-   v   ŏ   l,,,*ol: O
CrimeanTatar-6_3sgpronoun-1-1,CrimeanTatar-6_3sgpronoun-1,o,82,false,expert,,-   -   o   -,,,*ol: O
Gagauz-6_3sgpronoun-1-1,Gagauz-6_3sgpronoun-1,o,82,false,expert,,-   -   o   -,,,*ol: O
KaraKalpak-6_3sgpronoun-1-1,KaraKalpak-6_3sgpronoun-1,ol,82,false,expert,,-   -   o   l,,,*ol: O
KarachayBalkar-6_3sgpronoun-1-1,KarachayBalkar-6_3sgpronoun-1,ol,82,false,expert,,-   -   o   l,,,*ol: O
Karaim-6_3sgpronoun-1-1,Karaim-6_3sgpronoun-1,ol,82,false,expert,,-   -   o   l,,,*ol: O
Kazakh-6_3sgpronoun-1-1,Kazakh-6_3sgpronoun-1,ol,82,false,expert,,-   -   o   l,,,*ol: O
Khakas-6_3sgpronoun-1-1,Khakas-6_3sgpronoun-1,ol,82,false,expert,,-   -   o   l,,,*ol: O
Khalaj-6_3sgpronoun-1-1,Khalaj-6_3sgpronoun-1,o:,82,false,expert,,-   -   o ː   -,,,*ol: O
Kirghiz-6_3sgpronoun-1-1,Kirghiz-6_3sgpronoun-1,al,82,false,expert,,-   -   a   l,,,*ol: O
Kumyk-6_3sgpronoun-1-1,Kumyk-6_3sgpronoun-1,o(l),82,false,expert,,-   -   o   l,,,*ol: O
MiddleChulym-6_3sgpronoun-1-1,MiddleChulym-6_3sgpronoun-1,ol,82,false,expert,,-   -   o   l,,,*ol: O
Nogai-6_3sgpronoun-1-1,Nogai-6_3sgpronoun-1,ol,82,false,expert,,-   -   o   l,,,*ol: O
Salar-6_3sgpronoun-1-1,Salar-6_3sgpronoun-1,vu,82,false,expert,,-   v   u   -,,,*ol: O
SarygYugur-6_3sgpronoun-1-1,SarygYugur-6_3sgpronoun-1,qol,82,false,expert,,q   -   o   l,,,*ol: O
Shor-6_3sgpronoun-1-1,Shor-6_3sgpronoun-1,ol,82,false,expert,,-   -   o   l,,,*ol: O
Tatar-6_3sgpronoun-1-1,Tatar-6_3sgpronoun-1,ul,82,false,expert,,-   -   u   l,,,*ol: O
Tofa-6_3sgpronoun-1-1,Tofa-6_3sgpronoun-1,ol,82,false,expert,,-   -   o   l,,,*ol: O
Turkish-6_3sgpronoun-1-1,Turkish-6_3sgpronoun-1,o,82,false,expert,,-   -   o   -,,,*ol: O
Turkmen-6_3sgpronoun-1-1,Turkmen-6_3sgpronoun-1,ol,82,false,expert,,-   -   o   l,,,*ol: O
Tuvan-6_3sgpronoun-1-1,Tuvan-6_3sgpronoun-1,ol,82,false,expert,,-   -   o   l,,,*ol: O
Uighur-6_3sgpronoun-1-1,Uighur-6_3sgpronoun-1,u,82,false,expert,,-   -   u   -,,,*ol: O
Uzbek-6_3sgpronoun-1-1,Uzbek-6_3sgpronoun-1,u,82,false,expert,,-   -   u   -,,,*ol: O
Dolgan-6_3sgpronoun-1-1,Dolgan-6_3sgpronoun-1,gini,83,false,expert,,g   i   n   i,,,*[g]ẹntü  (nd)
Yakut-6_3sgpronoun-1-1,Yakut-6_3sgpronoun-1,kini,83,false,expert,,k   i   n   i,,,*[g]ẹntü  (nd)
Baraba-7_above-1-1,Baraba-7_above-1,yst,599,false,expert,,-   y   s   t   -   -   -   -   -   -   -   -   -,,,*üŕ(t)
CodexCumanicus-7_above-1-1,CodexCumanicus-7_above-1,øzæ,599,false,expert,,-   ø   z   -   æ   -   -   -   -   -   -   -   -,,,*üŕ(t)
NorthAltai-7_above-1-1,NorthAltai-7_above-1,yst,599,false,expert,,-   y   s   t   -   -   -   -   -   -   -   -   -,,,*üŕ(t)
OldUyghur-7_above-1-1,OldUyghur-7_above-1,yz,599,false,expert,,-   y   z   -   -   -   -   -   -   -   -   -   -,,,*üŕ(t)
SouthAltai-7_above-1-1,SouthAltai-7_above-1,"ystyle, ystynde",599,false,expert,,-   y   s   t   -   -   y   -   -   -   -   l   e,,,*üŕ(t)
Azeri-7_above-1-1,Azeri-7_above-1,"ystyndɛ, yzɛrindɛ",599,false,expert,,-   y   s   t   -   -   y   n   d   æ   -   -   -,,,*üŕ(t)
Bashkir-7_above-1-1,Bashkir-7_above-1,østønɛn,599,false,expert,,-   ø   s   t   -   -   ø   n   -   æ   n   -   -,,,*üŕ(t)
CrimeanTatar-7_above-1-1,CrimeanTatar-7_above-1,"yst, yzer",599,false,expert,,-   y   s   t   -   -   -   -   -   -   -   -   -,,,*üŕ(t)
Gagauz-7_above-1-1,Gagauz-7_above-1,"ystyndɛ, yzerindɛ",599,false,expert,,-   y   s   t   -   -   y   n   d   æ   -   -   -,,,*üŕ(t)
KaraKalpak-7_above-1-1,KaraKalpak-7_above-1,ystinde,599,false,expert,,-   y   s   t   -   -   i   n   d   e   -   -   -,,,*üŕ(t)
