ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source,Root
NorthAltai-1_fingernailn-1-1,NorthAltai-1_fingernailn-1,tɯrɣaq,307,false,expert,,t   ɯ   r   ɣ   a   -   -   q,,,DIRNAK
OldUyghur-1_fingernailn-1-1,OldUyghur-1_fingernailn-1,tɯrŋaq,307,false,expert,,t   ɯ   r   ŋ   a   -   -   q,,,DIRNAK
Azeri-1_fingernailn-1-1,Azeri-1_fingernailn-1,dɯrnaɢ,307,false,expert,,d   ɯ   r   n   a   -   -   ɢ,,,DIRNAK
Bashkir-1_fingernailn-1-1,Bashkir-1_fingernailn-1,tɯrnaq,307,false,expert,,t   ɯ   r   n   a   -   -   q,,,DIRNAK
Chuvash-1_fingernailn-1-1,Chuvash-1_fingernailn-1,ʨɘrne,307,false,expert,,t ʃ   ĭ   r   n   e   -   -   -,,,DIRNAK
CrimeanTatar-1_fingernailn-1-1,CrimeanTatar-1_fingernailn-1,tɯrnaq,307,false,expert,,t   ɯ   r   n   a   -   -   q,,,DIRNAK
Dolgan-1_fingernailn-1-1,Dolgan-1_fingernailn-1,tɯŋɯrak,307,false,expert,,t   ɯ   -   ŋ   ɯ   r   a   k,,,DIRNAK
Gagauz-1_fingernailn-1-1,Gagauz-1_fingernailn-1,tɯrnak,307,false,expert,,t   ɯ   r   n   a   -   -   k,,,DIRNAK
KaraKalpak-1_fingernailn-1-1,KaraKalpak-1_fingernailn-1,tɯrnaq,307,false,expert,,t   ɯ   r   n   a   -   -   q,,,DIRNAK
KarachayBalkar-1_fingernailn-1-1,KarachayBalkar-1_fingernailn-1,tɯrnaq,307,false,expert,,t   ɯ   r   n   a   -   -   q,,,DIRNAK
Karaim-1_fingernailn-1-1,Karaim-1_fingernailn-1,tɯrnak,307,false,expert,,t   ɯ   r   n   a   -   -   k,,,DIRNAK
Kazakh-1_fingernailn-1-1,Kazakh-1_fingernailn-1,tɯrnaq,307,false,expert,,t   ɯ   r   n   a   -   -   q,,,DIRNAK
Khakas-1_fingernailn-1-1,Khakas-1_fingernailn-1,tɯrɣaχ,307,false,expert,,t   ɯ   r   ɣ   a   -   -   χ,,,DIRNAK
Khalaj-1_fingernailn-1-1,Khalaj-1_fingernailn-1,tɯrnaq,307,false,expert,,t   ɯ   r   n   a   -   -   q,,,DIRNAK
Kumyk-1_fingernailn-1-1,Kumyk-1_fingernailn-1,tɯrnaq,307,false,expert,,t   ɯ   r   n   a   -   -   q,,,DIRNAK
MiddleChulym-1_fingernailn-1-1,MiddleChulym-1_fingernailn-1,tərɣaq,307,false,expert,,t   ə   r   ɣ   a   -   -   q,,,DIRNAK
Nogai-1_fingernailn-1-1,Nogai-1_fingernailn-1,tɯrnaq,307,false,expert,,t   ɯ   r   n   a   -   -   q,,,DIRNAK
Salar-1_fingernailn-1-1,Salar-1_fingernailn-1,tɯrnaχ,307,false,expert,,t   ɯ   r   n   a   -   -   χ,,,DIRNAK
Tatar-1_fingernailn-1-1,Tatar-1_fingernailn-1,tɯrnaq,307,false,expert,,t   ɯ   r   n   a   -   -   q,,,DIRNAK
Turkish-1_fingernailn-1-1,Turkish-1_fingernailn-1,tɯrnak,307,false,expert,,t   ɯ   r   n   a   -   -   k,,,DIRNAK
Turkmen-1_fingernailn-1-1,Turkmen-1_fingernailn-1,dɯrnaq,307,false,expert,,d   ɯ   r   n   a   -   -   q,,,DIRNAK
Tuvan-1_fingernailn-1-1,Tuvan-1_fingernailn-1,dɯrɣaq,307,false,expert,,d   ɯ   r   ɣ   a   -   -   q,,,DIRNAK
Uzbek-1_fingernailn-1-1,Uzbek-1_fingernailn-1,tirnɔq,307,false,expert,,t   i   r   n   ɔ   -   -   q,,,DIRNAK
Yakut-1_fingernailn-1-1,Yakut-1_fingernailn-1,tɯŋɯraχ,307,false,expert,,t   ɯ   -   ŋ   ɯ   r   a   χ,,,DIRNAK
CodexCumanicus-1_fingernailn-1-1,CodexCumanicus-1_fingernailn-1,termac,308,false,expert,,t   e   r   m   a   c,,,*darmak / dïrmak
NorthAltai-1_fingernailn-2-1,NorthAltai-1_fingernailn-2,tɯrbaq,308,false,expert,,t   ɯ   r   b   a   q,,,*darmak / dïrmak
SouthAltai-1_fingernailn-1-1,SouthAltai-1_fingernailn-1,tɯrmaχ,308,false,expert,,t   ɯ   r   m   a   χ,,,*darmak / dïrmak
Kirghiz-1_fingernailn-1-1,Kirghiz-1_fingernailn-1,tɯrmaq,308,false,expert,,t   ɯ   r   m   a   q,,,*darmak / dïrmak
SarygYugur-1_fingernailn-1-1,SarygYugur-1_fingernailn-1,"tarmaq, tɯrmaq, tɯrvaq",308,false,expert,,t   a   r   m   a   q,,,*darmak / dïrmak
Shor-1_fingernailn-1-1,Shor-1_fingernailn-1,tɯrbaq,308,false,expert,,t   ɯ   r   b   a   q,,,*darmak / dïrmak
Tofa-1_fingernailn-1-1,Tofa-1_fingernailn-1,dɯrbaq,308,false,expert,,d   ɯ   r   b   a   q,,,*darmak / dïrmak
Uighur-1_fingernailn-1-1,Uighur-1_fingernailn-1,tirmaq,308,false,expert,,t   i   r   m   a   q,,,*darmak / dïrmak
Baraba-2_1plpronoun-1-1,Baraba-2_1plpronoun-1,biz,891,false,expert,,-   b   i   z   -   -   -   -   -   -,,,biz
CodexCumanicus-2_1plpronoun-1-1,CodexCumanicus-2_1plpronoun-1,bix,891,false,expert,,-   b   i   x   -   -   -   -   -   -,,,biz
NorthAltai-2_1plpronoun-1-1,NorthAltai-2_1plpronoun-1,pis,891,false,expert,,-   p   i   s   -   -   -   -   -   -,,,biz
OldUyghur-2_1plpronoun-1-1,OldUyghur-2_1plpronoun-1,biz,891,false,expert,,-   b   i   z   -   -   -   -   -   -,,,biz
SouthAltai-2_1plpronoun-1-1,SouthAltai-2_1plpronoun-1,bis,891,false,expert,,-   b   i   s   -   -   -   -   -   -,,,biz
Azeri-2_1plpronoun-1-1,Azeri-2_1plpronoun-1,biz,891,false,expert,,-   b   i   z   -   -   -   -   -   -,,,biz
Bashkir-2_1plpronoun-1-1,Bashkir-2_1plpronoun-1,beð,891,false,expert,,-   b   e   ð   -   -   -   -   -   -,,,biz
Chuvash-2_1plpronoun-1-1,Chuvash-2_1plpronoun-1,ebir,891,false,expert,,e   b   i   r   -   -   -   -   -   -,,,biz
CrimeanTatar-2_1plpronoun-1-1,CrimeanTatar-2_1plpronoun-1,biz,891,false,expert,,-   b   i   z   -   -   -   -   -   -,,,biz
Dolgan-2_1plpronoun-1-1,Dolgan-2_1plpronoun-1,bihigi,891,false,expert,,-   b   i   h   i   g   i   -   -   -,,,biz
Gagauz-2_1plpronoun-1-1,Gagauz-2_1plpronoun-1,biz,891,false,expert,,-   b   i   z   -   -   -   -   -   -,,,biz
KaraKalpak-2_1plpronoun-1-1,KaraKalpak-2_1plpronoun-1,biz,891,false,expert,,-   b   i   z   -   -   -   -   -   -,,,biz
KarachayBalkar-2_1plpronoun-1-1,KarachayBalkar-2_1plpronoun-1,biz,891,false,expert,,-   b   i   z   -   -   -   -   -   -,,,biz
Karaim-2_1plpronoun-1-1,Karaim-2_1plpronoun-1,biz,891,false,expert,,-   b   i   z   -   -   -   -   -   -,,,biz
Kazakh-2_1plpronoun-1-1,Kazakh-2_1plpronoun-1,bɘz,891,false,expert,,-   b   ĭ   z   -   -   -   -   -   -,,,biz
Khakas-2_1plpronoun-1-1,Khakas-2_1plpronoun-1,pɘs,891,false,expert,,-   p   ĭ   s   -   -   -   -   -   -,,,biz
Khalaj-2_1plpronoun-1-1,Khalaj-2_1plpronoun-1,biz,891,false,expert,,-   b   i   z   -   -   -   -   -   -,,,biz
Kirghiz-2_1plpronoun-1-1,Kirghiz-2_1plpronoun-1,biz,891,false,expert,,-   b   i   z   -   -   -   -   -   -,,,biz
Kumyk-2_1plpronoun-1-1,Kumyk-2_1plpronoun-1,biz,891,false,expert,,-   b   i   z   -   -   -   -   -   -,,,biz
MiddleChulym-2_1plpronoun-1-1,MiddleChulym-2_1plpronoun-1,pɘs,891,false,expert,,-   p   ĭ   s   -   -   -   -   -   -,,,biz
Nogai-2_1plpronoun-1-1,Nogai-2_1plpronoun-1,biz,891,false,expert,,-   b   i   z   -   -   -   -   -   -,,,biz
Salar-2_1plpronoun-1-1,Salar-2_1plpronoun-1,piser,891,false,expert,,-   p   i   s   -   -   -   -   e   r,,,biz
SarygYugur-2_1plpronoun-1-1,SarygYugur-2_1plpronoun-1,"mɯs, mɯster",891,false,expert,,-   m   ɨ   s   -   -   -   -   -   -,,,biz
Shor-2_1plpronoun-1-1,Shor-2_1plpronoun-1,pis,891,false,expert,,-   p   i   s   -   -   -   -   -   -,,,biz
Tatar-2_1plpronoun-1-1,Tatar-2_1plpronoun-1,bez,891,false,expert,,-   b   e   z   -   -   -   -   -   -,,,biz
Tofa-2_1plpronoun-1-1,Tofa-2_1plpronoun-1,bister,891,false,expert,,-   b   i   s   -   -   -   t   e   r,,,biz
Turkish-2_1plpronoun-1-1,Turkish-2_1plpronoun-1,biz,891,false,expert,,-   b   i   z   -   -   -   -   -   -,,,biz
Turkmen-2_1plpronoun-1-1,Turkmen-2_1plpronoun-1,biz,891,false,expert,,-   b   i   z   -   -   -   -   -   -,,,biz
Tuvan-2_1plpronoun-1-1,Tuvan-2_1plpronoun-1,bis,891,false,expert,,-   b   i   s   -   -   -   -   -   -,,,biz
Uighur-2_1plpronoun-1-1,Uighur-2_1plpronoun-1,biz,891,false,expert,,-   b   i   z   -   -   -   -   -   -,,,biz
Uzbek-2_1plpronoun-1-1,Uzbek-2_1plpronoun-1,biz,891,false,expert,,-   b   i   z   -   -   -   -   -   -,,,biz
Yakut-2_1plpronoun-1-1,Yakut-2_1plpronoun-1,bihigi,891,false,expert,,-   b   i   h   i   g   i   -   -   -,,,biz
Baraba-3_1sg-1-1,Baraba-3_1sg-1,min,31,false,expert,,m   i   n,,,*ben
CodexCumanicus-3_1sg-1-1,CodexCumanicus-3_1sg-1,men,31,false,expert,,m   e   n,,,*ben
NorthAltai-3_1sg-1-1,NorthAltai-3_1sg-1,men,31,false,expert,,m   e   n,,,*ben
OldUyghur-3_1sg-1-1,OldUyghur-3_1sg-1,ben,31,false,expert,,b   e   n,,,*ben
SouthAltai-3_1sg-1-1,SouthAltai-3_1sg-1,men,31,false,expert,,m   e   n,,,*ben
Azeri-3_1sg-1-1,Azeri-3_1sg-1,mɛn,31,false,expert,,m   æ   n,,,*ben
Bashkir-3_1sg-1-1,Bashkir-3_1sg-1,min,31,false,expert,,m   i   n,,,*ben
CrimeanTatar-3_1sg-1-1,CrimeanTatar-3_1sg-1,men,31,false,expert,,m   e   n,,,*ben
Dolgan-3_1sg-1-1,Dolgan-3_1sg-1,min,31,false,expert,,m   i   n,,,*ben
Gagauz-3_1sg-1-1,Gagauz-3_1sg-1,bɛn,31,false,expert,,b   æ   n,,,*ben
KaraKalpak-3_1sg-1-1,KaraKalpak-3_1sg-1,men,31,false,expert,,m   e   n,,,*ben
KarachayBalkar-3_1sg-1-1,KarachayBalkar-3_1sg-1,men,31,false,expert,,m   e   n,,,*ben
Karaim-3_1sg-1-1,Karaim-3_1sg-1,men,31,false,expert,,m   e   n,,,*ben
Kazakh-3_1sg-1-1,Kazakh-3_1sg-1,men,31,false,expert,,m   e   n,,,*ben
Khakas-3_1sg-1-1,Khakas-3_1sg-1,min,31,false,expert,,m   i   n,,,*ben
Khalaj-3_1sg-1-1,Khalaj-3_1sg-1,mɛn,31,false,expert,,m   æ   n,,,*ben
Kirghiz-3_1sg-1-1,Kirghiz-3_1sg-1,men,31,false,expert,,m   e   n,,,*ben
Kumyk-3_1sg-1-1,Kumyk-3_1sg-1,men,31,false,expert,,m   e   n,,,*ben
MiddleChulym-3_1sg-1-1,MiddleChulym-3_1sg-1,mɛn,31,false,expert,,m   æ   n,,,*ben
Nogai-3_1sg-1-1,Nogai-3_1sg-1,men,31,false,expert,,m   e   n,,,*ben
Salar-3_1sg-1-1,Salar-3_1sg-1,men,31,false,expert,,m   e   n,,,*ben
SarygYugur-3_1sg-1-1,SarygYugur-3_1sg-1,men,31,false,expert,,m   e   n,,,*ben
Shor-3_1sg-1-1,Shor-3_1sg-1,men,31,false,expert,,m   e   n,,,*ben
