ID,Name,Concepticon_ID,Concepticon_Gloss
1_fingernailn,(finger)nail (n.),1258,FINGERNAIL
2_1plpronoun,1PL pronoun,1212,WE
3_1sg,1SG,1209,I
4_2plpronoun,2PL pronoun,1213,YOU
5_2sgpronoun,2SG pronoun,1215,THOU
6_3sgpronoun,3SG pronoun,262,HE OR SHE OR IT
7_above,above,1741,ABOVE
8_antn,ant (n.),587,ANT
9_armhandn,arm / hand (n.),2121,ARM OR HAND
10_ashn,ash (n.),646,ASH
11_askv,ask (v.),1828,ASK (REQUEST)
12_at,at,1461,AT
13_backn,back (n.),1291,BACK
14_bad,bad,1292,BAD
15_barkn,bark (n.),1204,BARK
16_bellyn,belly (n.),1251,BELLY
17_big,big,1202,BIG
18_birdn,bird (n.),937,BIRD
19_bitev,bite (v.),1403,BITE
20_bitter,bitter,887,BITTER
21_black,black,163,BLACK
22_bloodn,blood (n.),946,BLOOD
23_blowv,blow (v.),175,BLOW (OF WIND)
24_bonen,bone (n.),1394,BONE
25_bottomn,bottom (n.),690,BOTTOM
26_brainn,brain (n.),1583,BRAIN
27_branchn,branch (n.),1531,BRANCH
28_breakv,break (v.),2558,BREAK (CLEAVE)
29_breastnchestn,breast (n.) // (chest) (n.),1402,BREAST
30_breathev,breathe (v.),1407,BREATHE
31_burnintrv,burn (intr.) (v.),2102,BURN
32_carryv,carry (v.),700,CARRY
33_cheekn,cheek (n.),1730,CHEEK
34_chewv,chew (v.),321,CHEW
35_childkintermn,child (kin term) (n.),1801,CHILD (DESCENDANT)
36_chinn,chin (n.),1510,CHIN
37_clawn,claw (n.),72,CLAW
38_cloudn,cloud (n.),1489,CLOUD
39_cold,cold,1287,COLD
40_comev,come (v.),1446,COME
41_coughv,cough (v.),879,COUGH
42_countv,count (v.),1420,COUNT
43_coverv,cover (v.),761,COVER
44_crushgrindv,crush / grind (v.),1033,GRIND
45_cryweepv,cry / weep (v.),1839,CRY
46_cutv,cut (v.),1432,CUT
47_dayn,day (n.),1225,DAY (NOT NIGHT)
48_deep,deep,1593,DEEP
49_diev,die (v.),1494,DIE
50_digv,dig (v.),1418,DIG
51_dirty,dirty,1230,DIRTY
52_domakev,do (make) (v.),2575,DO OR MAKE
53_dogn,dog (n.),2009,DOG
54_drinkv,drink (v.),1401,DRINK
55_dry,dry,1398,DRY
56_dust,dust,2,DUST
57_earn,ear (n.),1247,EAR
58_eatv,eat (v.),1336,EAT
59_edgen,edge (n.),863,EDGE
60_eggn,egg (n.),744,EGG
61_eyen,eye (n.),1248,EYE
62_fallv,fall (v.),1280,FALL
63_far,far,1406,FAR
64_fatn,fat (n.),323,FAT (ORGANIC SUBSTANCE)
65_fathern,father (n.),1217,FATHER
66_fearv,fear (v.),1419,FEAR (BE AFRAID)
67_feathern,feather (n.),1201,FEATHER
68_femaleofananimaln,female (of an animal) (n.),3923,FEMALE ANIMAL
69_fightv,fight (v.),1423,FIGHT
70_findv,find (v.),719,FIND
71_firen,fire (n.),221,FIRE
72_firewoodn,firewood (n.),10,FIREWOOD
73_fishn,fish (n.),227,FISH
74_five,five,493,FIVE
75_flowv,flow (v.),2003,FLOW
76_flowern,flower (n.),239,FLOWER
77_flyn,fly (n.),1504,FLY (INSECT)
78_flyv,fly (v.),1441,FLY (MOVE THROUGH AIR)
79_foamn,foam (n.),1768,FOAM
80_fogn,fog (n.),249,FOG
81_foreheadn,forehead (n.),123,FOREHEAD
82_four,four,1500,FOUR
83_freezev,freeze (v.),1431,FREEZE
84_fruitn,fruit (n.),1507,FRUIT
85_full,full,1429,FULL
86_givev,give (v.),1447,GIVE
87_gov,go (v.),695,GO
88_good,good,1035,GOOD
89_graspv,grasp (v.),2021,GRASP
90_grassn,grass (n.),606,GRASS
91_green,green,1425,GREEN
92_growv,grow (v.),479,GROW
93_gutsn,guts (n.),1334,GUTS
94_hairn,hair (n.),2648,HAIR (HEAD)
95_hard,hard,1884,HARD
96_headn,head (n.),1256,HEAD
97_hearv,hear (v.),1408,HEAR
98_heartn,heart (n.),1223,HEART
99_heavy,heavy,1210,HEAVY
100_here,here,136,HERE
101_hidev,hide (v.),602,HIDE (CONCEAL)
102_hitbeatv,hit / beat (v.),1665,BEAT
103_holen,hole (n.),1667,HOLE
104_hornn,horn (n.),1393,HORN (ANATOMY)
105_hot,hot,1286,HOT
106_housen,house (n.),1252,HOUSE
107_how,how?,1239,HOW
108_huntv,hunt (v.),1435,HUNT
109_icen,ice (n.),617,ICE
110_in,in,1460,IN
111_jumpv,jump (v.),1829,JUMP
112_killv,kill (v.),1417,KILL
113_kneen,knee (n.),1371,KNEE
114_knowv,know (v.),1410,KNOW (SOMETHING)
115_laken,lake (n.),624,LAKE
116_laughv,laugh (v.),1355,LAUGH
117_leafn,leaf (n.),628,LEAF
118_left,left,244,LEFT
119_legfootn,leg // foot (n.),2098,FOOT OR LEG
120_lickv,lick (v.),319,LICK
121_liedownv,lie (down) (v.),215,LIE DOWN
122_livev,live (v.),1422,BE ALIVE
123_livern,liver (n.),1224,LIVER
124_long,long,1203,LONG
125_lookv,look (v.),1819,LOOK
126_lookforv,look for (v.),1468,LOOK FOR
127_lousen,louse (n.),1392,LOUSE
128_mann,man (n.),1554,MAN
129_many,many,1198,MANY
130_meatn,meat (n.),634,MEAT
131_monthn,month (n.),1370,MONTH
132_moonn,moon (n.),1313,MOON
133_mothern,mother (n.),1216,MOTHER
134_mountainhilln,mountain (hill) (n.),2118,MOUNTAIN OR HILL
135_mouthn,mouth (n.),674,MOUTH
136_namen,name (n.),1405,NAME
137_narrow,narrow,1267,NARROW
138_nasalmucusn,nasal mucus (n.),208,NASAL MUCUS (SNOT)
139_naveln,navel (n.),1838,NAVEL
140_near,near,1942,NEAR
141_neckn,neck (n.),1333,NECK
142_new,new,1231,NEW
143_nightn,night (n.),1233,NIGHT
144_nosen,nose (n.),1221,NOSE
145_not,not,1240,NOT
146_old,old,1229,OLD
147_one,one,1493,ONE
148_openv,open (v.),1156,OPEN
149_other,other,197,OTHER
150_personn,person (n.),683,PERSON
151_playv,play (v.),1413,PLAY
152_pullv,pull (v.),1455,PULL
153_pusn,pus (n.),1808,PUS
154_pushv,push (v.),1452,PUSH
155_putonv,put on (v.),158,PUT ON
156_rainn,rain (n.),658,RAIN (PRECIPITATION)
157_raw,raw,1959,RAW
158_red,red,156,RED
159_remainv,remain (v.),987,REMAIN
160_right,right,1019,RIGHT
161_ripev,ripe (v.),179,RIPEN
162_risev,rise (v.),568,RISE (MOVE UPWARDS)
163_rivern,river (n.),666,RIVER
164_rootn,root (n.),670,ROOT
165_ropen,rope (n.),1218,ROPE
166_round,round,1395,ROUND
167_runv,run (v.),1519,RUN
168_saltn,salt (n.),1274,SALT
169_sandn,sand (n.),671,SAND
170_sayv,say (v.),1458,SAY
171_scratchv,scratch (v.),1436,SCRATCH
172_sean,sea (n.),1474,SEA
173_seev,see (v.),1409,SEE
174_seedn,seed (n.),714,SEED
175_sewv,sew (v.),1457,SEW
176_shadeshadown,shade / shadow (n.),1388,SHADE
177_sharp,sharp,1396,SHARP
178_short,short,1645,SHORT
179_shouldern,shoulder (n.),1482,SHOULDER
180_singv,sing (v.),1261,SING
181_sitv,sit (v.),1416,SIT
182_skinhiden,skin (hide) (n.),763,SKIN
183_skyn,sky (n.),1732,SKY
184_sleepv,sleep (v.),1585,SLEEP
185_small,small,1246,SMALL
186_smellv,smell (v.),2124,SMELL
187_smoken,smoke (n.),778,SMOKE (EXHAUST)
188_smooth,smooth,1234,SMOOTH
189_snaken,snake (n.),730,SNAKE
190_snown,snow (n.),784,SNOW
191_soft,soft,1856,SOFT
192_soilearthn,soil (earth) (n.),1228,EARTH (SOIL)
193_sour,sour,1906,SOUR
194_spinv,spin (v.),121,SPIN
195_spitv,spit (v.),1440,SPIT
196_standv,stand (v.),1442,STAND
197_starn,star (n.),1430,STAR
198_stickn,stick (n.),1295,STICK
199_stonerockn,stone (rock) (n.),857,STONE
200_straight,straight,1404,STRAIGHT
201_suckv,suck (v.),1421,SUCK
202_sunn,sun (n.),1343,SUN
203_swallowv,swallow (v.),897,SWALLOW
204_sweet,sweet,717,SWEET
205_swellv,swell (v.),1573,SWELL
206_swimv,swim (v.),1439,SWIM
207_tailn,tail (n.),1220,TAIL
208_takev,take (v.),1749,TAKE
209_tall,tall,711,TALL
210_tearv,tear (v.),1735,TEAR (SHRED)
211_that,that,78,THAT
212_there,there,1937,THERE
213_they,they,817,THEY
214_thick,thick,1244,THICK
215_thighn,thigh (n.),471,UPPER LEG (THIGH)
216_thin,thin,2308,THIN
