ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
NorthAltai-1_fingernailn-1,3456,NorthAltai,1_fingernailn,tïrɣaḳ (Р),tɯrɣaq,t ɯ r ɣ a q,,baskakov1985,,,,
OldUyghur-1_fingernailn-1,3457,OldUyghur,1_fingernailn,"tïrŋaḳ, tïŋraḳ",tɯrŋaq,t ɯ r ŋ a q,,clauson1972,,,,
Azeri-1_fingernailn-1,3458,Azeri,1_fingernailn,dïrnaġ,dɯrnaɢ,d ɯ r n a ɢ,,gusejnov1941;sirliyev1951;tagiyev2006,,,,
Bashkir-1_fingernailn-1,3459,Bashkir,1_fingernailn,tïrnaḳ,tɯrnaq,t ɯ r n a q,,uraksin1996;uraksin2005,,,,
Chuvash-1_fingernailn-1,3460,Chuvash,1_fingernailn,čɘrne,ʨɘrne,tɕ ĭ r n e,,asmarin1928;savelyev2011,,,,
CrimeanTatar-1_fingernailn-1,3461,CrimeanTatar,1_fingernailn,tïrnaḳ,tɯrnaq,t ɯ r n a q,,useinov2007,,,,
Dolgan-1_fingernailn-1,3462,Dolgan,1_fingernailn,tïŋïrak,tɯŋɯrak,t ɯ ŋ ɯ r a k,,aksenova1992;stachowski1993,,,,
Gagauz-1_fingernailn-1,3463,Gagauz,1_fingernailn,tïrnak,tɯrnak,t ɯ r n a k,,baskakov1973;radova-karanastas2016,,,,
KaraKalpak-1_fingernailn-1,3464,KaraKalpak,1_fingernailn,tïrnaḳ,tɯrnaq,t ɯ r n a q,,baskakov1958;baskakov1967,,,,
KarachayBalkar-1_fingernailn-1,3465,KarachayBalkar,1_fingernailn,tïrnaḳ,tɯrnaq,t ɯ r n a q,,tenisev1989;sujuncev1965,,,,
Karaim-1_fingernailn-1,3466,Karaim,1_fingernailn,tïrnak,tɯrnak,t ɯ r n a k,,baskakov1974,,,,
Kazakh-1_fingernailn-1,3467,Kazakh,1_fingernailn,tïrnaḳ,tɯrnaq,t ɯ r n a q,,bektaev1995;bekturov2001;sauranbaev1954,,,,
Khakas-1_fingernailn-1,3468,Khakas,1_fingernailn,tïrɣaχ,tɯrɣaχ,t ɯ r ɣ a χ,,baskakov1953;cankov1961;subrakova2006,,,,
Khalaj-1_fingernailn-1,3469,Khalaj,1_fingernailn,tïrnaḳ,tɯrnaq,t ɯ r n a q,,doerfer1980,,,,
Kumyk-1_fingernailn-1,3470,Kumyk,1_fingernailn,tïrnaḳ,tɯrnaq,t ɯ r n a q,,adzijev1992;bammatov1960;bammatov1969,,,,
MiddleChulym-1_fingernailn-1,3471,MiddleChulym,1_fingernailn,tərɣaḳ,tərɣaq,t ə r ɣ a q,,savelyev2015,,,,
Nogai-1_fingernailn-1,3472,Nogai,1_fingernailn,tïrnaḳ,tɯrnaq,t ɯ r n a q,,baskakov1963;baskakov1956;kapajev2007,,,,
Salar-1_fingernailn-1,3473,Salar,1_fingernailn,tïrnaχ,tɯrnaχ,t ɯ r n a χ,,tenisev1976,,,,
Tatar-1_fingernailn-1,3474,Tatar,1_fingernailn,tïrnaḳ,tɯrnaq,t ɯ r n a q,,dmitrijev1955;osmanov1966,,,,
Turkish-1_fingernailn-1,3475,Turkish,1_fingernailn,tïrnak,tɯrnak,t ɯ r n a k,,baskakov1977;iz1992,,,,
Turkmen-1_fingernailn-1,3476,Turkmen,1_fingernailn,dïrnaḳ,dɯrnaq,d ɯ r n a q,,baskakov1968;khamzajev1968,,,,
Tuvan-1_fingernailn-1,3477,Tuvan,1_fingernailn,dïrɣaḳ,dɯrɣaq,d ɯ r ɣ a q,,harrison2002;mongus1988;tenisev1968,,,,
