"NUMBER","ENGLISH","CONCEPTICON_ID","CONCEPTICON_GLOSS"
"231","vomit (v.)","1278","VOMIT"
"232","walk (v.)","1443","WALK"
"233","warm","1232","WARM"
"234","wash (v.)","1453","WASH"
"235","water (n.)","948","WATER"
"236","weave (v.)","133","WEAVE"
"237","wet","1726","WET"
"238","what?","1236","WHAT"
"239","when?","1238","WHEN"
"240","where?","1237","WHERE"
"241","which?","727","WHICH"
"242","white","1335","WHITE"
"243","who?","1235","WHO"
"244","wide","1243","WIDE"
"245","wind (n.)","960","WIND"
"246","wing (n.)","1257","WING"
"247","with","1340","WITH"
"248","woman (n.)","962","WOMAN"
"249","wood (n.)","1803","WOOD"
"250","woods / forest (n.)","420","FOREST"
"251","worm (n.)","1219","WORM"
"252","year (n.)","1226","YEAR"
"253","yellow","1424","YELLOW"
"254","yesterday","1174","YESTERDAY"
