ID	DOCULECT	CONCEPT	ENTRY	FORM	TOKENS	COGID	ROOT	ALIGNMENT
8179	Tuvan	1PL pronoun	bis	bis	b i s	891	biz	- b i s - - - - - -
8180	Uighur	1PL pronoun	biz	biz	b i z	891	biz	- b i z - - - - - -
8181	Uzbek	1PL pronoun	biz	biz	b i z	891	biz	- b i z - - - - - -
8182	Yakut	1PL pronoun	bihigi	bihigi	b i h i g i	891	biz	- b i h i g i - - -
437	Baraba	1SG	min		m i n	31	*ben	m i n
438	CodexCumanicus	1SG	men		m e n	31	*ben	m e n
439	NorthAltai	1SG	men		m e n	31	*ben	m e n
440	OldUyghur	1SG	ben		b e n	31	*ben	b e n
441	SouthAltai	1SG	men	men	m e n	31	*ben	m e n
442	Azeri	1SG	män	mɛn	m æ n	31	*ben	m æ n
443	Bashkir	1SG	min	min	m i n	31	*ben	m i n
444	CrimeanTatar	1SG	men	men	m e n	31	*ben	m e n
445	Dolgan	1SG	min	min	m i n	31	*ben	m i n
446	Gagauz	1SG	bän	bɛn	b æ n	31	*ben	b æ n
447	KaraKalpak	1SG	men	men	m e n	31	*ben	m e n
448	KarachayBalkar	1SG	men	men	m e n	31	*ben	m e n
449	Karaim	1SG	men	men	m e n	31	*ben	m e n
450	Kazakh	1SG	men	men	m e n	31	*ben	m e n
451	Khakas	1SG	min	min	m i n	31	*ben	m i n
452	Khalaj	1SG	män	mɛn	m æ n	31	*ben	m æ n
453	Kirghiz	1SG	men	men	m e n	31	*ben	m e n
454	Kumyk	1SG	men	men	m e n	31	*ben	m e n
455	MiddleChulym	1SG	män	mɛn	m æ n	31	*ben	m æ n
456	Nogai	1SG	men	men	m e n	31	*ben	m e n
457	Salar	1SG	men	men	m e n	31	*ben	m e n
458	SarygYugur	1SG	men	men	m e n	31	*ben	m e n
459	Shor	1SG	men	men	m e n	31	*ben	m e n
460	Tatar	1SG	min	min	m i n	31	*ben	m i n
461	Tofa	1SG	men	men	m e n	31	*ben	m e n
462	Turkish	1SG	ben	ben	b e n	31	*ben	b e n
463	Turkmen	1SG	men	men	m e n	31	*ben	m e n
464	Tuvan	1SG	men	men	m e n	31	*ben	m e n
465	Uighur	1SG	män	mɛn	m æ n	31	*ben	m æ n
466	Uzbek	1SG	men	men	m e n	31	*ben	m e n
467	Yakut	1SG	min	min	m i n	31	*ben	m i n
468	Chuvash	1SG	ebɘ	ebɘ	e b ĭ	32	*bẹ	e b ĭ
8335	Baraba	2PL pronoun	silär, sis		s i l æ r	911	si	s i - l æ r - - -
8336	CodexCumanicus	2PL pronoun	six		s i x	911	si	s i x - - - - - -
8337	NorthAltai	2PL pronoun	sler		s l e r	911	si	s - - l e r - - -
8338	OldUyghur	2PL pronoun	siz		s i z	911	si	s i z - - - - - -
8339	SouthAltai	2PL pronoun	sler	sler	s l e r	911	si	s l - - e r - - -
8340	Azeri	2PL pronoun	siz	siz	s i z	911	si	s i z - - - - - -
8341	Bashkir	2PL pronoun	heδ	heð	h e ð	911	si	h e ð - - - - - -
8342	Chuvash	2PL pronoun	ezir	ezir	e z i r	911	si	- e z - i r - - -
8343	CrimeanTatar	2PL pronoun	siz	siz	s i z	911	si	s i z - - - - - -
8344	Gagauz	2PL pronoun	siz	siz	s i z	911	si	s i z - - - - - -
8345	KaraKalpak	2PL pronoun	siz	siz	s i z	911	si	s i z - - - - - -
8346	KarachayBalkar	2PL pronoun	siz	siz	s i z	911	si	s i z - - - - - -
8347	Karaim	2PL pronoun	siz	siz	s i z	911	si	s i z - - - - - -
8348	Kazakh	2PL pronoun	sĭzder	sɘzder	s ĭ z d e r	911	si	s ĭ z d e r - - -
8349	Khakas	2PL pronoun	sɘrer	sɘrer	s ĭ r e r	911	si	s ĭ - r e r - - -
8350	Khalaj	2PL pronoun	siz	siz	s i z	911	si	s i z - - - - - -
8351	Kirghiz	2PL pronoun	siler	siler	s i l e r	911	si	s i - l e r - - -
8352	Kumyk	2PL pronoun	siz	siz	s i z	911	si	s i z - - - - - -
8353	MiddleChulym	2PL pronoun	s(ɘ)lär	s(ɘ)lɛr	s ĭ l ɛ r	911	si	s ĭ - l ɛ r - - -
8354	Nogai	2PL pronoun	siz	siz	s i z	911	si	s i z - - - - - -
8355	Salar	2PL pronoun	seler	seler	s e l e r	911	si	s e - l e r - - -
8356	SarygYugur	2PL pronoun	siler	siler	s i l e r	911	si	s i - l e r - - -
8357	Shor	2PL pronoun	siler	siler	s i l e r	911	si	s i - l e r - - -
8358	Tatar	2PL pronoun	sez	sez	s e z	911	si	s e z - - - - - -
8359	Tofa	2PL pronoun	s(ɘ)ler	s(ɘ)ler	s ĭ l ɛ r	911	si	s ĭ - l ɛ r - - -
8360	Turkish	2PL pronoun	siz	siz	s i z	911	si	s i z - - - - - -
8361	Turkmen	2PL pronoun	siz	siz	s i z	911	si	s i z - - - - - -
8362	Tuvan	2PL pronoun	siler	siler	s i l e r	911	si	s i - l e r - - -
8363	Uighur	2PL pronoun	siz	siz	s i z	911	si	s i z - - - - - -
8364	Uzbek	2PL pronoun	sizlar	sizlar	s i z l a r	911	si	s i z l a r - - -
8365	Yakut	2PL pronoun	ehigi	ehigi	e h i g i	911	si	- e h - - - i g i
8366	Dolgan	2PL pronoun	en	en	e n	912	sen	
261	Chuvash	2SG pronoun	ezɘ	ezɘ	e z ĭ	16	*sV: sẹ	e z ĭ -
262	Nogai	2SG pronoun	siz	siz	s i z	16	*sV: sẹ	- s i z
263	Uzbek	2SG pronoun	siz	siz	s i z	16	*sV: sẹ	- s i z
264	Baraba	2SG pronoun	sin		s i n	17	*sV: sen	s i n
265	CodexCumanicus	2SG pronoun	sen		s e n	17	*sV: sen	s e n
266	NorthAltai	2SG pronoun	sen		s e n	17	*sV: sen	s e n
267	OldUyghur	2SG pronoun	sen		s e n	17	*sV: sen	s e n
268	SouthAltai	2SG pronoun	sen	sen	s e n	17	*sV: sen	s e n
269	Azeri	2SG pronoun	sän	sɛn	s æ n	17	*sV: sen	s æ n
270	Bashkir	2SG pronoun	hin	hin	h i n	17	*sV: sen	h i n
271	CrimeanTatar	2SG pronoun	sen	sen	s e n	17	*sV: sen	s e n
272	Dolgan	2SG pronoun	en	en	e n	17	*sV: sen	- e n
273	Gagauz	2SG pronoun	sän	sɛn	s æ n	17	*sV: sen	s æ n
274	KaraKalpak	2SG pronoun	sen	sen	s e n	17	*sV: sen	s e n
275	KarachayBalkar	2SG pronoun	sen	sen	s e n	17	*sV: sen	s e n
276	Karaim	2SG pronoun	sen	sen	s e n	17	*sV: sen	s e n
277	Kazakh	2SG pronoun	sen	sen	s e n	17	*sV: sen	s e n
278	Khakas	2SG pronoun	sin	sin	s i n	17	*sV: sen	s i n
279	Khalaj	2SG pronoun	sän	sɛn	s æ n	17	*sV: sen	s æ n
280	Kirghiz	2SG pronoun	sen	sen	s e n	17	*sV: sen	s e n
281	Kumyk	2SG pronoun	sen	sen	s e n	17	*sV: sen	s e n
282	MiddleChulym	2SG pronoun	sän	sɛn	s æ n	17	*sV: sen	s æ n
283	Salar	2SG pronoun	sen	sen	s e n	17	*sV: sen	s e n
284	SarygYugur	2SG pronoun	sen	sen	s e n	17	*sV: sen	s e n
285	Shor	2SG pronoun	sen	sen	s e n	17	*sV: sen	s e n
286	Tatar	2SG pronoun	sin	sin	s i n	17	*sV: sen	s i n
287	Tofa	2SG pronoun	sen	sen	s e n	17	*sV: sen	s e n
288	Turkish	2SG pronoun	sen	sen	s e n	17	*sV: sen	s e n
289	Turkmen	2SG pronoun	sen	sen	s e n	17	*sV: sen	s e n
290	Tuvan	2SG pronoun	sen	sen	s e n	17	*sV: sen	s e n
291	Uighur	2SG pronoun	sän	sɛn	s æ n	17	*sV: sen	s æ n
292	Yakut	2SG pronoun	en	en	e n	17	*sV: sen	- e n
1151	Baraba	3SG pronoun	ol		o l	82	*ol: O	- - o l
1152	CodexCumanicus	3SG pronoun	ol		o l	82	*ol: O	- - o l
1153	NorthAltai	3SG pronoun	ol		o l	82	*ol: O	- - o l
1154	OldUyghur	3SG pronoun	ol		o l	82	*ol: O	- - o l
1155	SouthAltai	3SG pronoun	ol	ol	o l	82	*ol: O	- - o l
1156	Azeri	3SG pronoun	o	o	o	82	*ol: O	- - o -
1157	Bashkir	3SG pronoun	ul	ul	u l	82	*ol: O	- - u l
1158	Chuvash	3SG pronoun	vəʷl	völ	v ŏ l	82	*ol: O	- v ŏ l
1159	CrimeanTatar	3SG pronoun	o	o	o	82	*ol: O	- - o -
1160	Gagauz	3SG pronoun	o	o	o	82	*ol: O	- - o -
1161	KaraKalpak	3SG pronoun	ol	ol	o l	82	*ol: O	- - o l
1162	KarachayBalkar	3SG pronoun	ol	ol	o l	82	*ol: O	- - o l
1163	Karaim	3SG pronoun	ol	ol	o l	82	*ol: O	- - o l
1164	Kazakh	3SG pronoun	ol	ol	o l	82	*ol: O	- - o l
1165	Khakas	3SG pronoun	ol	ol	o l	82	*ol: O	- - o l
1166	Khalaj	3SG pronoun	o:	o:	oː	82	*ol: O	- - oː -
1167	Kirghiz	3SG pronoun	al	al	a l	82	*ol: O	- - a l
1168	Kumyk	3SG pronoun	o(l)	o(l)	o l 	82	*ol: O	- - o l
1169	MiddleChulym	3SG pronoun	ol	ol	o l	82	*ol: O	- - o l
1170	Nogai	3SG pronoun	ol	ol	o l	82	*ol: O	- - o l
1171	Salar	3SG pronoun	vu	vu	v u	82	*ol: O	- v u -
1172	SarygYugur	3SG pronoun	ḳol	qol	q o l	82	*ol: O	q - o l
1173	Shor	3SG pronoun	ol	ol	o l	82	*ol: O	- - o l
1174	Tatar	3SG pronoun	ul	ul	u l	82	*ol: O	- - u l
1175	Tofa	3SG pronoun	ol, oŋ	ol	o l	82	*ol: O	- - o l
1176	Turkish	3SG pronoun	o	o	o	82	*ol: O	- - o -
1177	Turkmen	3SG pronoun	ol	ol	o l	82	*ol: O	- - o l
1178	Tuvan	3SG pronoun	ol	ol	o l	82	*ol: O	- - o l
1179	Uighur	3SG pronoun	u	u	u	82	*ol: O	- - u -
1180	Uzbek	3SG pronoun	u	u	u	82	*ol: O	- - u -
1181	Dolgan	3SG pronoun	gini	gini	g i n i	83	*[g]ẹntü  (nd)	g i n i
1182	Yakut	3SG pronoun	kini	kini	k i n i	83	*[g]ẹntü  (nd)	k i n i
5993	Baraba	above	üst-		y s t	599	*üŕ(t)	- y s t - - - - - - - - -
5994	CodexCumanicus	above	özä, ustun		ø z æ	599	*üŕ(t)	- ø z - æ - - - - - - - -
5995	NorthAltai	above	üst-		y s t	599	*üŕ(t)	- y s t - - - - - - - - -
5996	OldUyghur	above	üz, üst		y z	599	*üŕ(t)	- y z - - - - - - - - - -
5997	SouthAltai	above	üstüle, üstünde	ystyle, ystynde	y s t y l e	599	*üŕ(t)	- y s t - - y - - - - l e
5998	Azeri	above	üstündä, üzärindä	ystyndɛ, yzɛrindɛ	y s t y n d æ	599	*üŕ(t)	- y s t - - y n d æ - - -
5999	Bashkir	above	östönän	østønɛn	ø s t ø n æ n	599	*üŕ(t)	- ø s t - - ø n - æ n - -
6000	CrimeanTatar	above	üst, üzer	yst, yzer	y s t	599	*üŕ(t)	- y s t - - - - - - - - -
6001	Gagauz	above	üstündä, üzerindä	ystyndɛ, yzerindɛ	y s t y n d æ	599	*üŕ(t)	- y s t - - y n d æ - - -
6002	KaraKalpak	above	üstinde	ystinde	y s t i n d e	599	*üŕ(t)	- y s t - - i n d e - - -
6003	Karaim	above	üst	yst	y s t	599	*üŕ(t)	- y s t - - - - - - - - -
6004	Kazakh	above	üstĭnen, ĭnde	ystɘnen, ɘnde	y s t ĭ n e n	599	*üŕ(t)	- y s t - - ĭ n - e n - -
6005	Khakas	above	üstünǰe, ünde	ystynʥe, ynde	y s t y n d e	599	*üŕ(t)	- y s t - - y n d e - - -
6006	Kirghiz	above	üstündö	ystyndø	y s t y n d ø	599	*üŕ(t)	- y s t - - y n d ø - - -
6007	Kumyk	above	üstünde	ystynde	y s t y n d e	599	*üŕ(t)	- y s t - - y n d e - - -
6008	Nogai	above	üstinde	ystinde	y s t i n d e	599	*üŕ(t)	- y s t - - i n d e - - -
6009	Salar	above	išt	iʃt	i ʃ t	599	*üŕ(t)	- i ʃ t - - - - - - - - -
6010	SarygYugur	above	yüze, (üze)	jyze, (yze)	j y z e	599	*üŕ(t)	j y z - e - - - - - - - -
6011	Shor	above	? üstünde	? ystynde	y s t y n d e	599	*üŕ(t)	- y s t - - y n d e - - -
6012	Tatar	above	östennän	østennɛn	ø s t e nː æ n	599	*üŕ(t)	- ø s t - - e nː - æ n - -
6013	Tofa	above	üˁstünde(n)	yˁstynde(n)	yˁ s t y n d e	599	*üŕ(t)	- yˁ s t - - y n d e - - -
6014	Turkish	above	üzerinde, üštünde	yzerinde, yʃtynde	y z e r i n d e	599	*üŕ(t)	- y z - e r i n d e - - -
6015	Turkmen	above	üštünde	yʃtynde	y ʃ t y n d e	599	*üŕ(t)	- y ʃ t - - y n d e - - -
6016	Tuvan	above	? üšt	? yʃt	y ʃ t	599	*üŕ(t)	- y ʃ t - - - - - - - - -
6017	Uighur	above	üstidä, üzrä	ystidɛ, yzrɛ	y s t i d æ	599	*üŕ(t)	- y s t - - i - d æ - - -
6018	Uzbek	above	ustida(n)	ustida(n)	u s t i d a 	599	*üŕ(t)	- u s t - - i - d a - - -
6019	Dolgan	above	ürdünen	yrdynen	y r d y n e n	600	*ö:r	y r d y n e n
6020	Yakut	above	ürdünen	yrdynen	y r d y n e n	600	*ö:r	y r d y n e n
6021	Chuvash	above	śiyɘn	ɕijɘn	ɕ i j ĭ n	601	*jẹg	ɕ i j ĭ n
6022	KarachayBalkar	above	bašïnda	baʃɯnda	b a ʃ ɯ n d a	602	baš	b a ʃ ɯ n d a
6023	Salar	above	baš	baʃ	b a ʃ	602	baš	
6024	Turkmen	above	? bašïnda	? baʃɯnda	b a ʃ ɯ n d a	602	baš	
6025	Karaim	above	ašïra	aʃɯra	a ʃ ɯ r a	603	aǰïrï	a ʃ ɯ r a -
6026	Tofa	above	aǰïrï	aʥɯrɯ	a dʑ ɯ r ɯ	603	aǰïrï	a dʑ ɯ r - ɯ
6027	Tuvan	above	ḳïrï	qɯrɯ	q ɯ r ɯ	604	*Kïr	
2387	OldUyghur	ant (n.)	? ḳumursɣa		q u m u r s ɣ a	196	*Kumïr	q u - m u r s ɣ a - - - - - - - - -
2388	Bashkir	ant (n.)	ḳïrmïθḳa	qɯrmɯθqa	q ɯ r m ɯ θ q a	196	*Kumïr	q ɯ r m ɯ - θ q a - - - - - - - - -
2389	CrimeanTatar	ant (n.)	ḳïmïrsḳa	qɯmɯrsqa	q ɯ m ɯ r s q a	196	*Kumïr	q ɯ - m ɯ r s q a - - - - - - - - -
2390	KaraKalpak	ant (n.)	ḳumïrsḳa	qumɯrsqa	q u m ɯ r s q a	196	*Kumïr	q u - m ɯ r s q a - - - - - - - - -
2391	KarachayBalkar	ant (n.)	ḳumursχa	qumursχa	q u m u r s χ a	196	*Kumïr	q u - m u r s χ a - - - - - - - - -
2392	Karaim	ant (n.)	kumurska	kumurska	k u m u r s k a	196	*Kumïr	k u - m u r s k a - - - - - - - - -
2393	Kazakh	ant (n.)	ḳŭmïrsḳa	qŭmɯrsqa	q u m ɯ r s q a	196	*Kumïr	q u - m ɯ r s q a - - - - - - - - -
2394	Khakas	ant (n.)	χïmïsχa	χɯmɯsχa	χ ɯ m ɯ s χ a	196	*Kumïr	χ ɯ - m ɯ - s χ a - - - - - - - - -
2395	Khalaj	ant (n.)	gumurɣa:č	gumurɣa:ʨ	g u m u r ɣ aː tʃ	196	*Kumïr	g u - m u - r ɣ aː tʃ - - - - - - - -
2396	Kirghiz	ant (n.)	ḳumursḳa	qumursqa	q u m u r s q a	196	*Kumïr	q u - m u r s q a - - - - - - - - -
2397	Kumyk	ant (n.)	χomursɣa	χomursɣa	χ o m u r s ɣ a	196	*Kumïr	χ o - m u r s ɣ a - - - - - - - - -
2398	MiddleChulym	ant (n.)	ḳumursḳa	qumursqa	q u m u r s q a	196	*Kumïr	q u - m u r s q a - - - - - - - - -
2399	Nogai	ant (n.)	ḳumïrsḳa	qumɯrsqa	q u m ɯ r s q a	196	*Kumïr	q u - m ɯ r s q a - - - - - - - - -
2400	Salar	ant (n.)	ḳumusḳa	qumusqa	q u m u s q a	196	*Kumïr	q u - m u - s q a - - - - - - - - -
2401	Shor	ant (n.)	ḳïmïsḳaš	qɯmɯsqaʃ	q ɯ m ɯ s q a ʃ	196	*Kumïr	q ɯ - m ɯ - s q a ʃ - - - - - - - -
2402	Tatar	ant (n.)	ḳïrmïsḳa	qɯrmɯsqa	q ɯ r m ɯ s q a	196	*Kumïr	q ɯ r m ɯ - s q a - - - - - - - - -
2403	Tofa	ant (n.)	hïmïsḳa	hɯmɯsqa	h ɯ m ɯ s q a	196	*Kumïr	h ɯ - m ɯ - s q a - - - - - - - - -
2404	Tuvan	ant (n.)	ḳïmïsḳayaḳ	qɯmɯsqajaq	q ɯ m ɯ s q a j a q	196	*Kumïr	q ɯ - m ɯ - s q a - j a q - - - - -
2405	Yakut	ant (n.)	kïmïrdaɣas	kɯmɯrdaɣas	k ɯ m ɯ r d a ɣ a s	196	*Kumïr	k ɯ - m ɯ - r - - - - - - d a ɣ a s
2406	Azeri	ant (n.)	ġarïšġa	ɢarɯʃɢa	ɢ a r ɯ ʃ ɢ a	197	*K(i)arïnčga	ɢ a r ɯ - ʃ ɢ a
2407	CrimeanTatar	ant (n.)	ḳarïnǰa	qarɯnʥa	q a r ɯ n ʥ a	197	*K(i)arïnčga	q a r ɯ n ʥ - a
2408	Gagauz	ant (n.)	karïmǰa	karɯmʥa	k a r ɯ m ʥ a	197	*K(i)arïnčga	k a r ɯ m ʥ - a
2409	Turkish	ant (n.)	karïnǰa	karɯnʥa	k a r ɯ n ʥ a	197	*K(i)arïnčga	k a r ɯ n ʥ - a
2410	Turkmen	ant (n.)	ġarïnǰa	ɢarɯnʥa	ɢ a r ɯ n ʥ a	197	*K(i)arïnčga	ɢ a r ɯ n ʥ - a
2411	NorthAltai	ant (n.)	čubala		tʃ u b a l a	198	*čümeli	tʃ u b ( a ) l ( a )
2412	OldUyghur	ant (n.)	čümeli		tʃ y m e l i	198	*čümeli	tʃ y m ( e ) l ( i )
2413	SouthAltai	ant (n.)	čïmalï	ʨɯmalɯ	tʃ ɯ m a l ɯ	198	*čümeli	tʃ ɯ m ( a ) l ( ɯ )
2414	Uighur	ant (n.)	čömüli, (čümülä)	ʨømyli, (ʨymylɛ)	tʃ ø m y l i	198	*čümeli	tʃ ø m ( y ) l ( i )
2415	Uzbek	ant (n.)	čumɔli	ʨumɔli	tʃ u m ɔ l i	198	*čümeli	tʃ u m ( ɔ ) l ( i )
588	Baraba	arm / hand (n.)	ḳol		q o l	38	*kol	q o l
589	NorthAltai	arm / hand (n.)	ḳol		q o l	38	*kol	q o l
590	OldUyghur	arm / hand (n.)	ḳol		q o l	38	*kol	q o l
591	SouthAltai	arm / hand (n.)	ḳol	qol	q o l	38	*kol	q o l
592	Azeri	arm / hand (n.)	ġol	ɢol	ɢ o l	38	*kol	ɢ o l
593	Bashkir	arm / hand (n.)	ḳul	qul	q u l	38	*kol	q u l
594	Chuvash	arm / hand (n.)	χul	χul	χ u l	38	*kol	χ u l
595	CrimeanTatar	arm / hand (n.)	ḳol	qol	q o l	38	*kol	q o l
596	Gagauz	arm / hand (n.)	kol	kol	k o l	38	*kol	k o l
597	KaraKalpak	arm / hand (n.)	ḳol	qol	q o l	38	*kol	q o l
598	KarachayBalkar	arm / hand (n.)	ḳol	qol	q o l	38	*kol	q o l
599	Karaim	arm / hand (n.)	kol	kol	k o l	38	*kol	k o l
600	Kazakh	arm / hand (n.)	ḳol	qol	q o l	38	*kol	q o l
601	Khakas	arm / hand (n.)	χol	χol	χ o l	38	*kol	χ o l
602	Khalaj	arm / hand (n.)	ḳol	qol	q o l	38	*kol	q o l
603	Kirghiz	arm / hand (n.)	ḳol	qol	q o l	38	*kol	q o l
604	Kumyk	arm / hand (n.)	ḳol	qol	q o l	38	*kol	q o l
605	MiddleChulym	arm / hand (n.)	ḳol	qol	q o l	38	*kol	q o l
606	Nogai	arm / hand (n.)	ḳol	qol	q o l	38	*kol	q o l
607	Salar	arm / hand (n.)	ḳol	qol	q o l	38	*kol	q o l
608	SarygYugur	arm / hand (n.)	ḳol	qol	q o l	38	*kol	q o l
609	Shor	arm / hand (n.)	ḳol	qol	q o l	38	*kol	q o l
610	Tatar	arm / hand (n.)	ḳul	qul	q u l	38	*kol	q u l
611	Tofa	arm / hand (n.)	ḳol	qol	q o l	38	*kol	q o l
