ID	DOCULECT	CONCEPT	ENTRY	FORM	TOKENS	COGID	ROOT	ALIGNMENT
3456	NorthAltai	(finger)nail (n.)	tïrɣaḳ (Р)		t ɯ r ɣ a q	307	DIRNAK	t ɯ r ɣ a - - q
3457	OldUyghur	(finger)nail (n.)	tïrŋaḳ, tïŋraḳ		t ɯ r ŋ a q	307	DIRNAK	t ɯ r ŋ a - - q
3458	Azeri	(finger)nail (n.)	dïrnaġ	dɯrnaɢ	d ɯ r n a ɢ	307	DIRNAK	d ɯ r n a - - ɢ
3459	Bashkir	(finger)nail (n.)	tïrnaḳ	tɯrnaq	t ɯ r n a q	307	DIRNAK	t ɯ r n a - - q
3460	Chuvash	(finger)nail (n.)	čɘrne	ʨɘrne	tʃ ĭ r n e	307	DIRNAK	tʃ ĭ r n e - - -
3461	CrimeanTatar	(finger)nail (n.)	tïrnaḳ	tɯrnaq	t ɯ r n a q	307	DIRNAK	t ɯ r n a - - q
3462	Dolgan	(finger)nail (n.)	tïŋïrak	tɯŋɯrak	t ɯ ŋ ɯ r a k	307	DIRNAK	t ɯ - ŋ ɯ r a k
3463	Gagauz	(finger)nail (n.)	tïrnak	tɯrnak	t ɯ r n a k	307	DIRNAK	t ɯ r n a - - k
3464	KaraKalpak	(finger)nail (n.)	tïrnaḳ	tɯrnaq	t ɯ r n a q	307	DIRNAK	t ɯ r n a - - q
3465	KarachayBalkar	(finger)nail (n.)	tïrnaḳ	tɯrnaq	t ɯ r n a q	307	DIRNAK	t ɯ r n a - - q
3466	Karaim	(finger)nail (n.)	tïrnak	tɯrnak	t ɯ r n a k	307	DIRNAK	t ɯ r n a - - k
3467	Kazakh	(finger)nail (n.)	tïrnaḳ	tɯrnaq	t ɯ r n a q	307	DIRNAK	t ɯ r n a - - q
3468	Khakas	(finger)nail (n.)	tïrɣaχ	tɯrɣaχ	t ɯ r ɣ a χ	307	DIRNAK	t ɯ r ɣ a - - χ
3469	Khalaj	(finger)nail (n.)	tïrnaḳ	tɯrnaq	t ɯ r n a q	307	DIRNAK	t ɯ r n a - - q
3470	Kumyk	(finger)nail (n.)	tïrnaḳ	tɯrnaq	t ɯ r n a q	307	DIRNAK	t ɯ r n a - - q
3471	MiddleChulym	(finger)nail (n.)	tərɣaḳ	tərɣaq	t ə r ɣ a q	307	DIRNAK	t ə r ɣ a - - q
3472	Nogai	(finger)nail (n.)	tïrnaḳ	tɯrnaq	t ɯ r n a q	307	DIRNAK	t ɯ r n a - - q
3473	Salar	(finger)nail (n.)	tïrnaχ	tɯrnaχ	t ɯ r n a χ	307	DIRNAK	t ɯ r n a - - χ
3474	Tatar	(finger)nail (n.)	tïrnaḳ	tɯrnaq	t ɯ r n a q	307	DIRNAK	t ɯ r n a - - q
3475	Turkish	(finger)nail (n.)	tïrnak	tɯrnak	t ɯ r n a k	307	DIRNAK	t ɯ r n a - - k
3476	Turkmen	(finger)nail (n.)	dïrnaḳ	dɯrnaq	d ɯ r n a q	307	DIRNAK	d ɯ r n a - - q
3477	Tuvan	(finger)nail (n.)	dïrɣaḳ	dɯrɣaq	d ɯ r ɣ a q	307	DIRNAK	d ɯ r ɣ a - - q
3478	Uzbek	(finger)nail (n.)	tirnɔḳ	tirnɔq	t i r n ɔ q	307	DIRNAK	t i r n ɔ - - q
3479	Yakut	(finger)nail (n.)	tïŋïraχ	tɯŋɯraχ	t ɯ ŋ ɯ r a χ	307	DIRNAK	t ɯ - ŋ ɯ r a χ
3480	CodexCumanicus	(finger)nail (n.)	termac		t e r m a c	308	*darmak / dïrmak	t e r m a c
3481	NorthAltai	(finger)nail (n.)	tïrbaḳ (Р)		t ɯ r b a q	308	*darmak / dïrmak	t ɯ r b a q
3482	SouthAltai	(finger)nail (n.)	tïrmaχ	tɯrmaχ	t ɯ r m a χ	308	*darmak / dïrmak	t ɯ r m a χ
3483	Kirghiz	(finger)nail (n.)	tïrmaḳ	tɯrmaq	t ɯ r m a q	308	*darmak / dïrmak	t ɯ r m a q
3484	SarygYugur	(finger)nail (n.)	tarmaḳ, tïrmaḳ, tïrvaḳ	tarmaq, tɯrmaq, tɯrvaq	t a r m a q	308	*darmak / dïrmak	t a r m a q
3485	Shor	(finger)nail (n.)	tïrbaḳ	tɯrbaq	t ɯ r b a q	308	*darmak / dïrmak	t ɯ r b a q
3486	Tofa	(finger)nail (n.)	dïrbaḳ	dɯrbaq	d ɯ r b a q	308	*darmak / dïrmak	d ɯ r b a q
3487	Uighur	(finger)nail (n.)	tirmaḳ	tirmaq	t i r m a q	308	*darmak / dïrmak	t i r m a q
8151	Baraba	1PL pronoun	biz		b i z	891	biz	- b i z - - - - - -
8152	CodexCumanicus	1PL pronoun	bix		b i x	891	biz	- b i x - - - - - -
8153	NorthAltai	1PL pronoun	pis		p i s	891	biz	- p i s - - - - - -
8154	OldUyghur	1PL pronoun	biz		b i z	891	biz	- b i z - - - - - -
8155	SouthAltai	1PL pronoun	bis	bis	b i s	891	biz	- b i s - - - - - -
8156	Azeri	1PL pronoun	biz	biz	b i z	891	biz	- b i z - - - - - -
8157	Bashkir	1PL pronoun	beδ	beð	b e ð	891	biz	- b e ð - - - - - -
8158	Chuvash	1PL pronoun	ebir	ebir	e b i r	891	biz	e b i r - - - - - -
8159	CrimeanTatar	1PL pronoun	biz	biz	b i z	891	biz	- b i z - - - - - -
8160	Dolgan	1PL pronoun	bihigi	bihigi	b i h i g i	891	biz	- b i h i g i - - -
8161	Gagauz	1PL pronoun	biz	biz	b i z	891	biz	- b i z - - - - - -
8162	KaraKalpak	1PL pronoun	biz	biz	b i z	891	biz	- b i z - - - - - -
8163	KarachayBalkar	1PL pronoun	biz	biz	b i z	891	biz	- b i z - - - - - -
8164	Karaim	1PL pronoun	biz	biz	b i z	891	biz	- b i z - - - - - -
8165	Kazakh	1PL pronoun	bĭz	bɘz	b ĭ z	891	biz	- b ĭ z - - - - - -
8166	Khakas	1PL pronoun	pɘs	pɘs	p ĭ s	891	biz	- p ĭ s - - - - - -
8167	Khalaj	1PL pronoun	biz	biz	b i z	891	biz	- b i z - - - - - -
8168	Kirghiz	1PL pronoun	biz	biz	b i z	891	biz	- b i z - - - - - -
8169	Kumyk	1PL pronoun	biz	biz	b i z	891	biz	- b i z - - - - - -
8170	MiddleChulym	1PL pronoun	pɘs	pɘs	p ĭ s	891	biz	- p ĭ s - - - - - -
8171	Nogai	1PL pronoun	biz	biz	b i z	891	biz	- b i z - - - - - -
8172	Salar	1PL pronoun	piser	piser	p i s e r	891	biz	- p i s - - - - e r
8173	SarygYugur	1PL pronoun	mïs, mïster	mɯs, mɯster	m ɨ s	891	biz	- m ɨ s - - - - - -
8174	Shor	1PL pronoun	pis	pis	p i s	891	biz	- p i s - - - - - -
8175	Tatar	1PL pronoun	bez	bez	b e z	891	biz	- b e z - - - - - -
8176	Tofa	1PL pronoun	bister	bister	b i s t e r	891	biz	- b i s - - - t e r
8177	Turkish	1PL pronoun	biz	biz	b i z	891	biz	- b i z - - - - - -
8178	Turkmen	1PL pronoun	biz	biz	b i z	891	biz	- b i z - - - - - -
